calendar_day,avg_consumption,avg_weekday_consumption,avg_weekend_consumption
01-01,1078.5555555555557,1085.1666666666667,1065.3333333333333
01-02,1292.4444444444443,1348.0,1181.3333333333333
01-03,1381.888888888889,1435.142857142857,1195.5
01-04,1453.4444444444443,1472.25,1303.0
01-05,1425.7777777777778,1475.5714285714287,1251.5
01-06,1363.6666666666667,1421.0,1249.0
01-07,1411.5555555555557,1532.6,1260.25
01-08,1453.3333333333333,1547.6666666666667,1264.6666666666667
01-09,1472.4444444444443,1551.3333333333333,1314.6666666666667
01-10,1481.111111111111,1545.5714285714287,1255.5
01-11,1546.6666666666667,1574.0,1328.0
01-12,1519.5555555555557,1573.5714285714287,1330.5
01-13,1502.6666666666667,1579.6666666666667,1348.6666666666667
01-14,1470.7777777777778,1594.6,1316.0
01-15,1492.2222222222222,1593.5,1289.6666666666667
01-16,1500.111111111111,1568.8333333333333,1362.6666666666667
01-17,1528.2222222222222,1597.0,1287.5
01-18,1558.7777777777778,1585.75,1343.0
01-19,1538.0,1607.2857142857142,1295.5
01-20,1507.5555555555557,1588.1666666666667,1346.3333333333333
01-21,1485.6666666666667,1618.0,1320.25
01-22,1495.4444444444443,1593.1666666666667,1300.0
01-23,1494.3333333333333,1575.1666666666667,1332.6666666666667
01-24,1501.5555555555557,1571.0,1258.5
01-25,1536.3333333333333,1558.625,1358.0
01-26,1509.7777777777778,1562.7142857142858,1324.5
01-27,1487.3333333333333,1582.5,1297.0
01-28,1450.5555555555557,1591.4,1274.5
01-29,1477.5555555555557,1559.5,1313.6666666666667
01-30,1485.5555555555557,1563.6666666666667,1329.3333333333333
01-31,1507.4444444444443,1577.0,1264.0
02-01,1552.4444444444443,1576.25,1362.0
02-02,1506.3333333333333,1562.4285714285713,1310.0
02-03,1474.5555555555557,1557.6666666666667,1308.3333333333333
02-04,1443.7777777777778,1578.6,1275.25
02-05,1456.2222222222222,1547.3333333333333,1274.0
02-06,1479.5555555555557,1547.1666666666667,1344.3333333333333
02-07,1497.6666666666667,1559.857142857143,1280.0
02-08,1535.5555555555557,1560.75,1334.0
02-09,1514.5555555555557,1568.2857142857142,1326.5
02-10,1482.4444444444443,1580.5,1286.3333333333333
02-11,1460.4444444444443,1597.8,1288.75
02-12,1457.888888888889,1552.5,1268.6666666666667
02-13,1474.4444444444443,1534.8333333333333,1353.6666666666667
02-14,1475.888888888889,1526.142857142857,1300.0
02-15,1522.111111111111,1545.75,1333.0
02-16,1485.0,1538.142857142857,1299.0
02-17,1454.6666666666667,1551.8333333333333,1260.3333333333333
02-18,1412.6666666666667,1548.8,1242.5
02-19,1436.4444444444443,1532.1666666666667,1245.0
02-20,1449.5555555555557,1512.8333333333333,1323.0
02-21,1456.7777777777778,1526.4285714285713,1213.0
02-22,1499.7777777777778,1516.75,1364.0
02-23,1464.5555555555557,1517.4285714285713,1279.5
02-24,1433.0,1509.0,1281.0
02-25,1414.111111111111,1526.8,1273.25
02-26,1418.5555555555557,1513.6666666666667,1228.3333333333333
02-27,1426.2222222222222,1504.3333333333333,1270.0
02-28,1448.3333333333333,1518.5714285714287,1202.5
02-29,1438.0,1486.0,1342.0
03-01,1488.2222222222222,1520.625,1229.0
03-02,1465.2222222222222,1530.142857142857,1238.0
03-03,1417.111111111111,1496.5,1258.3333333333333
03-04,1423.4444444444443,1491.8333333333333,1286.6666666666667
03-05,1392.3333333333333,1510.2,1245.0
03-06,1411.888888888889,1490.5,1254.6666666666667
03-07,1451.6666666666667,1502.142857142857,1275.0
03-08,1467.7777777777778,1498.125,1225.0
03-09,1450.4444444444443,1504.2857142857142,1262.0
03-10,1417.2222222222222,1510.8333333333333,1230.0
