date,temperature_2m_max,temperature_2m_min,temp_diff_2m,apparent_temperature_max,apparent_temperature_min,apparent_temp_diff,daylight_duration,sunshine_duration,precipitation_sum,precipitation_hours,rain_sum,snowfall_sum,shortwave_radiation_sum,wind_speed_10m,wind_direction_10m,wind_gusts_10m_max,total_grid_load,residual_load,pumped_storage_x,biomass_energy,hydropower,offshore_wind,onshore_wind,solar_pv,other_renewables,nuclear_energy,lignite,hard_coal,natural_gas,pumped_storage_y,other_conventional,weekend,total_energy_production,total_renewable_production,total_energy_consumption
2021-10-01,17.21,8.98,8.23,13.92,4.99,8.93,11.61,8.65,1.91,2.62,1.79,0.0,10.48,6.47,183.87,11.15,1426.74,672.7,37.37,106.6,31.27,139.52,428.04,186.48,4.04,140.9,253.07,114.93,96.59,26.13,34.33,0.0,1561.88,895.94,2136.81
2021-10-02,18.53,11.19,7.34,16.34,8.29,8.04,11.55,9.11,1.38,2.08,1.13,0.0,9.84,7.57,175.7,15.6,1213.1,666.28,30.02,106.78,27.94,78.45,324.45,143.92,4.03,146.06,253.11,73.07,76.74,19.51,34.41,1.0,1288.45,685.57,1909.4
2021-10-03,19.76,12.5,7.25,17.0,9.05,7.95,11.48,3.25,3.23,5.15,3.02,0.0,4.43,8.67,183.95,17.6,1193.44,382.34,51.14,104.93,27.04,105.0,616.46,89.64,3.6,129.77,139.35,32.42,77.47,10.13,33.67,1.0,1369.48,946.67,1626.91
2021-10-04,16.15,11.33,4.82,13.96,9.32,4.64,11.41,5.51,1.49,4.46,1.25,0.0,5.48,4.8,219.58,10.22,1395.3,989.89,19.35,106.05,28.98,127.78,212.61,65.03,4.11,148.5,291.85,171.53,125.9,32.22,34.13,0.0,1348.68,544.55,2404.55
2021-10-05,15.65,10.82,4.83,13.42,8.42,5.01,11.35,4.85,5.23,6.92,4.84,0.0,5.29,5.34,176.07,12.36,1444.98,1024.13,30.05,106.75,32.82,128.23,230.48,62.15,4.21,157.98,304.25,175.22,103.06,23.9,34.11,0.0,1363.15,564.64,2499.16
2021-10-06,13.97,9.48,4.49,11.31,6.49,4.83,11.28,7.26,1.94,8.15,0.72,0.0,6.74,6.09,210.41,11.19,1442.77,989.65,38.54,106.66,36.29,48.74,307.57,96.82,4.23,157.1,295.41,172.87,116.12,15.44,34.72,0.0,1391.96,600.29,2470.96
2021-10-07,14.76,8.99,5.77,13.37,7.09,6.28,11.22,8.68,0.33,1.69,0.22,0.0,9.19,1.42,90.1,4.78,1414.45,1259.31,20.28,107.9,36.01,6.57,28.77,119.81,4.38,158.35,310.66,273.2,197.59,21.1,38.36,0.0,1302.7,303.43,2694.04
2021-10-08,16.1,8.53,7.57,13.64,6.07,7.57,11.15,9.19,0.03,0.31,0.01,0.0,10.49,4.08,81.2,7.85,1385.06,1106.21,18.96,107.66,32.65,8.79,143.58,126.48,4.39,158.24,309.53,255.45,164.32,21.23,38.0,0.0,1370.31,423.55,2510.24
2021-10-09,15.2,6.68,8.52,11.49,3.43,8.05,11.08,9.89,0.0,0.0,0.0,0.0,12.4,4.55,103.47,8.62,1200.8,765.79,35.32,107.28,30.5,28.56,219.63,186.82,4.33,156.21,295.17,128.63,87.45,16.15,36.03,1.0,1296.77,577.13,2001.91
2021-10-10,13.91,5.37,8.54,10.88,2.05,8.84,11.02,9.78,0.02,0.23,0.0,0.0,11.28,2.14,174.16,6.47,1147.11,830.35,35.69,106.43,27.95,30.02,107.07,179.67,4.3,156.52,325.5,119.11,84.68,19.31,35.74,1.0,1196.3,455.43,2013.15
2021-10-11,13.61,6.62,6.99,9.96,2.98,6.98,10.95,8.66,1.03,7.08,0.12,0.0,8.99,5.63,285.3,9.38,1446.71,981.81,22.27,105.84,29.92,121.7,229.89,113.32,4.33,154.67,338.8,204.58,122.65,20.46,35.9,0.0,1482.05,604.99,2450.8
2021-10-12,11.48,6.72,4.76,7.66,3.5,4.16,10.89,6.43,4.87,11.69,2.42,0.0,6.12,6.05,298.32,11.47,1501.97,1041.2,20.19,106.62,30.57,117.32,274.21,69.23,4.22,157.31,335.43,239.17,144.94,16.65,40.37,0.0,1536.03,602.17,2563.36
